# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session imported from “Hotspot+Block1.txt”	1	PMC	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:43:15.851	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	6.8525
Sample 75	Session imported from “Hotspot+Block1.txt”	75	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:41.742	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	26.2678
Sample 76	Session imported from “Hotspot+Block1.txt”	76	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:41.839	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	30.8361
Sample 77	Session imported from “Hotspot+Block1.txt”	77	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:41.937	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 78	Session imported from “Hotspot+Block1.txt”	78	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:42.035	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	33.1203
Sample 79	Session imported from “Hotspot+Block1.txt”	79	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:42.132	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	23.9836
Sample 80	Session imported from “Hotspot+Block1.txt”	80	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:42.230	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 81	Session imported from “Hotspot+Block1.txt”	81	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:42.341	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	25.1257
Sample 82	Session imported from “Hotspot+Block1.txt”	82	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:42.439	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 83	Session imported from “Hotspot+Block1.txt”	83	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:42.536	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 84	Session imported from “Hotspot+Block1.txt”	84	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:42.634	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	25.1257
Sample 85	Session imported from “Hotspot+Block1.txt”	85	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:42.732	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	31.9782
Sample 86	Session imported from “Hotspot+Block1.txt”	86	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:42.829	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 87	Session imported from “Hotspot+Block1.txt”	87	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:42.941	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 88	Session imported from “Hotspot+Block1.txt”	88	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:43.038	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 89	Session imported from “Hotspot+Block1.txt”	89	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:43.136	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 90	Session imported from “Hotspot+Block1.txt”	90	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:43.233	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 91	Session imported from “Hotspot+Block1.txt”	91	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:43.331	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	26.2678
Sample 92	Session imported from “Hotspot+Block1.txt”	92	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:43.428	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 93	Session imported from “Hotspot+Block1.txt”	93	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:43.540	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	36.5465
Sample 94	Session imported from “Hotspot+Block1.txt”	94	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:43.637	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 95	Session imported from “Hotspot+Block1.txt”	95	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:43.735	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	36.5465
Sample 96	Session imported from “Hotspot+Block1.txt”	96	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:43.832	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	31.9782
Sample 97	Session imported from “Hotspot+Block1.txt”	97	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:43.930	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 98	Session imported from “Hotspot+Block1.txt”	98	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:44.041	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	31.9782
Sample 99	Session imported from “Hotspot+Block1.txt”	99	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:44.139	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 100	Session imported from “Hotspot+Block1.txt”	100	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:44.236	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	25.1257
Sample 101	Session imported from “Hotspot+Block1.txt”	101	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:54.252	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 102	Session imported from “Hotspot+Block1.txt”	102	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:54.349	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	31.9782
Sample 103	Session imported from “Hotspot+Block1.txt”	103	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:54.446	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 104	Session imported from “Hotspot+Block1.txt”	104	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:54.544	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 105	Session imported from “Hotspot+Block1.txt”	105	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:54.655	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	23.9836
Sample 106	Session imported from “Hotspot+Block1.txt”	106	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:54.753	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	31.9782
Sample 107	Session imported from “Hotspot+Block1.txt”	107	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:54.850	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	23.9836
Sample 108	Session imported from “Hotspot+Block1.txt”	108	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:54.948	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 109	Session imported from “Hotspot+Block1.txt”	109	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:55.046	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 110	Session imported from “Hotspot+Block1.txt”	110	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:55.143	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	23.9836
Sample 111	Session imported from “Hotspot+Block1.txt”	111	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:55.255	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	30.8361
Sample 112	Session imported from “Hotspot+Block1.txt”	112	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:55.353	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	30.8361
Sample 113	Session imported from “Hotspot+Block1.txt”	113	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:55.450	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 114	Session imported from “Hotspot+Block1.txt”	114	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:55.547	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 115	Session imported from “Hotspot+Block1.txt”	115	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:55.645	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	25.1257
Sample 116	Session imported from “Hotspot+Block1.txt”	116	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:55.756	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 117	Session imported from “Hotspot+Block1.txt”	117	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:55.854	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 118	Session imported from “Hotspot+Block1.txt”	118	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:55.951	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 119	Session imported from “Hotspot+Block1.txt”	119	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:56.049	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 120	Session imported from “Hotspot+Block1.txt”	120	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:56.146	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 121	Session imported from “Hotspot+Block1.txt”	121	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:56.244	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 122	Session imported from “Hotspot+Block1.txt”	122	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:56.355	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 123	Session imported from “Hotspot+Block1.txt”	123	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:56.453	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 124	Session imported from “Hotspot+Block1.txt”	124	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:56.551	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 125	Session imported from “Hotspot+Block1.txt”	125	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:56.648	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 126	Session imported from “Hotspot+Block1.txt”	126	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:56.745	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 127	Session imported from “Hotspot+Block1.txt”	127	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:56.843	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	34.2623
Sample 128	Session imported from “Hotspot+Block1.txt”	128	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:56.954	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 129	Session imported from “Hotspot+Block1.txt”	129	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:57.052	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	30.8361
Sample 130	Session imported from “Hotspot+Block1.txt”	130	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:57.150	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	30.8361
Sample 131	Session imported from “Hotspot+Block1.txt”	131	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:57.247	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	26.2678
Sample 132	Session imported from “Hotspot+Block1.txt”	132	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:57.345	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 133	Session imported from “Hotspot+Block1.txt”	133	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:57.456	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 134	Session imported from “Hotspot+Block1.txt”	134	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:57.554	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 135	Session imported from “Hotspot+Block1.txt”	135	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:57.651	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 136	Session imported from “Hotspot+Block1.txt”	136	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:57.748	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	35.4044
Sample 137	Session imported from “Hotspot+Block1.txt”	137	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:57.846	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	31.9782
Sample 138	Session imported from “Hotspot+Block1.txt”	138	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:57.944	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	26.2678
Sample 139	Session imported from “Hotspot+Block1.txt”	139	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:58.055	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	26.2678
Sample 140	Session imported from “Hotspot+Block1.txt”	140	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:58.153	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	33.1203
Sample 141	Session imported from “Hotspot+Block1.txt”	141	PMC0.5	181.4456	115.1755	178.0149	-0.1946	0.8524	0.4853	-0.7910	-0.4289	0.4362	0.5800	-0.2990	0.7578	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	14:01:56.912	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)
Sample 142	Session imported from “Hotspot+Block1.txt”	142	PMC0.5	181.1996	114.7498	178.0506	-0.1945	0.8515	0.4869	-0.7909	-0.4297	0.4356	0.5802	-0.3004	0.7571	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	14:01:57.414	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)
Sample 143	Session imported from “Hotspot+Block1.txt”	143	PMC0.5	181.1494	115.2733	178.2946	-0.1967	0.8513	0.4865	-0.7920	-0.4304	0.4330	0.5780	-0.3001	0.7589	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	14:01:57.917	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)
Sample 144	Session imported from “Hotspot+Block1.txt”	144	PMC0.5	181.2710	115.4156	178.2528	-0.1991	0.8506	0.4867	-0.7923	-0.4320	0.4309	0.5768	-0.2998	0.7599	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	14:01:58.418	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)
Sample 145	Session imported from “Hotspot+Block1.txt”	145	PMC0.5	181.2019	115.3456	178.2809	-0.2005	0.8498	0.4874	-0.7914	-0.4338	0.4307	0.5775	-0.2994	0.7595	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	14:01:58.919	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)
Sample 146	Session imported from “Hotspot+Block1.txt”	146	PMC0.5	181.1509	115.1739	178.2535	-0.2012	0.8501	0.4867	-0.7917	-0.4337	0.4302	0.5768	-0.2988	0.7603	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	14:01:59.421	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)
Sample 147	Session imported from “Hotspot+Block1.txt”	147	PMC0.5	181.3805	115.3815	178.1502	-0.2029	0.8497	0.4867	-0.7926	-0.4344	0.4280	0.5751	-0.2989	0.7616	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	14:01:59.923	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)
Sample 148	Session imported from “Hotspot+Block1.txt”	148	PMC0.5	181.3582	115.4149	178.1817	-0.2031	0.8485	0.4887	-0.7911	-0.4363	0.4287	0.5770	-0.2995	0.7599	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	14:02:00.424	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)
Sample 149	Session imported from “Hotspot+Block1.txt”	149	PMC0.5	181.1706	115.3011	178.2885	-0.2009	0.8466	0.4928	-0.7897	-0.4376	0.4299	0.5796	-0.3028	0.7565	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	14:02:10.817	TTL1	APcoil	0.0000	(null)	(null)	(null)	(null)	(null)
